"","Form","Freq","lemma","POS","base","logtoken","nountype","typetoken_ratio","entropy"
"279","pensionate",270,"pensionata","NOUN-F:p","pensionat_",5.59842195899838,"animate",41.265,8.016
"280","pensionati",13594,"pensionato","NOUN-M:p","pensionat_",9.51738379790658,"animate",11.354,10.925
"281","pensionato",5611,"pensionato","NOUN-M:s","pensionat_",8.63248423575097,"animate",20.865,11.008
"282","poliziotta",619,"poliziotta","NOUN-F:s","poliziott_",6.4281052726846,"animate",51.604,10.063
"283","poliziotte",95,"poliziotta","NOUN-F:p","poliziott_",4.55387689160054,"animate",73.585,8.371
"284","poliziotti",18772,"poliziotto","NOUN-M:p","poliziott_",9.84012167691431,"animate",14.372,11.79
"285","poliziotto",12872,"poliziotto","NOUN-M:s","poliziott_",9.46280968867222,"animate",17.967,11.689
"286","popolana",269,"popolana","NOUN-F:s","popolan_",5.59471137960184,"animate",63.317,9.466
"287","popolane",86,"popolana","NOUN-F:p","popolan_",4.45434729625351,"animate",80.508,8.428
"288","popolani",574,"popolano","NOUN-M:p","popolan_",6.35262939631957,"animate",58.586,10.392
"289","popolano",482,"popolano","NOUN-M:s","popolan_",6.1779441140506,"animate",62.945,10.235
"290","portinai",124,"portinaio","NOUN-M:p","portinai_",4.82028156560504,"animate",53.05,7.942
"291","portinaia",379,"portinaia","NOUN-F:s","portinai_",5.93753620508243,"animate",52.864,9.226
"292","portinaie",61,"portinaia","NOUN-F:p","portinai_",4.11087386417331,"animate",56.777,6.833
"293","portinaio",507,"portinaio","NOUN-M:s","portinai_",6.22851100359118,"animate",50.328,9.685
"294","postina",212,"postina","NOUN-F:s","postin_",5.35658627467201,"animate",59.691,8.931
"295","postine",19,"postina","NOUN-F:p","postin_",2.94443897916644,"animate",90.164,6.683
"296","postini",609,"postino","NOUN-M:p","postin_",6.4118182677099,"animate",51.731,10.212
"297","postino",2205,"postino","NOUN-M:s","postin_",7.69848278788095,"animate",35.304,10.684
"298","psicologa",3879,"psicologa","NOUN-F:s","psicolog_",8.26333266743997,"animate",26.181,10.997
"299","psicologhe",245,"psicologa","NOUN-F:p","psicolog_",5.50125821054473,"animate",54.671,9.152
"300","psicologi",9524,"psicologo","NOUN-M:p","psicolog_",9.16157020760675,"animate",14.712,10.915
"301","psicologo",10309,"psicologo","NOUN-M:s","psicolog_",9.24077257909638,"animate",15.55,11.239
"302","ragazza",87236,"ragazza","NOUN-F:s","ragazz_",11.3763723687371,"animate",8.07,11.976
"303","ragazze",56333,"ragazza","NOUN-F:p","ragazz_",10.9390357880598,"animate",9.711,11.974
"304","ragazzi",219653,"ragazzo","NOUN-M:p","ragazz_",12.2998043074031,"animate",4.614,12.127
"305","ragazzo",91821,"ragazzo","NOUN-M:s","ragazz_",11.4275963086174,"animate",7.675,11.982
"306","santa",5364,"santa","NOUN-F:s","sant_",8.58746524440157,"animate",26.428,11.407
"307","sante",531,"santa","NOUN-F:p","sant_",6.27476202124194,"animate",55.893,10.055
"308","santi",13507,"santo","NOUN-M:p","sant_",9.51096334856076,"animate",16.786,11.479
"309","santo",11953,"santo","NOUN-M:s","sant_",9.38873757187798,"animate",19.508,11.59
"310","scienziata",907,"scienziata","NOUN-F:s","scienziat_",6.81014245011514,"animate",44.005,10.258
"311","scienziate",350,"scienziata","NOUN-F:p","scienziat_",5.85793315448346,"animate",44.639,9.207
"312","scienziati",36540,"scienziato","NOUN-M:p","scienziat_",10.506162829932,"animate",9.98,11.882
"313","scienziato",14997,"scienziato","NOUN-M:s","scienziat_",9.61560546008168,"animate",16.746,11.769
"314","scolaretta",106,"scolaretta","NOUN-F:s","scolarett_",4.66343909411207,"animate",71.321,8.337
"315","scolarette",37,"scolaretta","NOUN-F:p","scolarett_",3.61091791264422,"animate",84.951,7.361
"316","scolaretti",207,"scolaretto","NOUN-M:p","scolarett_",5.33271879326537,"animate",63.541,9.141
"317","scolaretto",139,"scolaretto","NOUN-M:s","scolarett_",4.93447393313069,"animate",68.39,8.577
"318","signorina",7037,"signorina","NOUN-F:s","signorin_",8.85893722196655,"animate",25.874,11.411
"319","signorine",1456,"signorina","NOUN-F:p","signorin_",7.28344822875663,"animate",44.848,10.964
"320","signorini",153,"signorino","NOUN-M:p","signorin_",5.03043792139244,"animate",66.581,8.745
"321","signorino",525,"signorino","NOUN-M:s","signorin_",6.26339826259162,"animate",54.429,9.662
"322","soci",84713,"socio","NOUN-M:p","soci_",11.3470243517436,"animate",5.158,11.459
"323","socia",1862,"socia","NOUN-F:s","soci_",7.52940645783701,"animate",38.14,10.9
"324","socie",1648,"socia","NOUN-F:p","soci_",7.40731771046942,"animate",29.963,10.329
"325","socio",41095,"socio","NOUN-M:s","soci_",10.6236417385826,"animate",7.254,11.373
"326","sociologa",881,"sociologa","NOUN-F:s","sociolog_",6.78105762593618,"animate",43.066,10.209
"327","sociologhe",50,"sociologa","NOUN-F:p","sociolog_",3.91202300542815,"animate",60.616,7.134
"328","sociologi",3339,"sociologo","NOUN-M:p","sociolog_",8.11342663994365,"animate",24.832,10.672
"329","sociologo",5880,"sociologo","NOUN-M:s","sociolog_",8.67931204089267,"animate",23.032,11.32
"330","sottoscritta",1862,"sottoscritta","NOUN-F:s","sottoscritt_",7.52940645783701,"animate",38.928,11.005
"331","sottoscritte",325,"sottoscritta","NOUN-F:p","sottoscritt_",5.78382518232974,"animate",38.059,8.697
"332","sottoscritti",1163,"sottoscritto","NOUN-M:p","sottoscritt_",7.05875815251866,"animate",32.455,9.706
"333","sottoscritto",18177,"sottoscritto","NOUN-M:s","sottoscritt_",9.8079123376131,"animate",14.539,11.625
"334","sovrana",2475,"sovrana","NOUN-F:s","sovran_",7.81399567500279,"animate",36.676,11.264
"335","sovrane",74,"sovrana","NOUN-F:p","sovran_",4.30406509320417,"animate",69.286,7.778
"336","sovrani",1192,"sovrano","NOUN-M:p","sovran_",7.0833878476253,"animate",43.44,10.746
"337","sovrano",8925,"sovrano","NOUN-M:s","sovran_",9.09661160664784,"animate",20.97,11.636
"338","straniera",199,"straniera","NOUN-F:s","stranier_",5.29330482472449,"animate",62.752,9.048
"339","straniere",2220,"straniera","NOUN-F:p","stranier_",7.70526247486633,"animate",27.937,10.287
"340","stranieri",57439,"straniero","NOUN-M:p","stranier_",10.9584787940998,"animate",6.104,11.328
"341","straniero",46450,"straniero","NOUN-M:s","stranier_",10.746131744242,"animate",5.469,10.553
"342","valletta",1051,"valletta","NOUN-F:s","vallett_",6.95749737087695,"animate",43.213,10.448
"343","vallette",537,"valletta","NOUN-F:p","vallett_",6.28599809450886,"animate",56.903,10.318
"344","valletti",217,"valletto","NOUN-M:p","vallett_",5.37989735354046,"animate",68.178,9.432
"345","valletto",357,"valletto","NOUN-M:s","vallett_",5.87773578177964,"animate",60.591,9.584
"346","vecchi",92,"vecchio","NOUN-M:p","vecchi_",4.52178857704904,"animate",72.371,8.433
"347","vecchia",8362,"vecchia","NOUN-F:s","vecchi_",9.03145291191651,"animate",25.818,11.912
"348","vecchie",296,"vecchia","NOUN-F:p","vecchi_",5.69035945432406,"animate",51.288,8.728
"349","vecchietta",1746,"vecchietta","NOUN-F:s","vecchiett_",7.46508273639955,"animate",37.924,10.782
"350","vecchiette",765,"vecchietta","NOUN-F:p","vecchiett_",6.63987583382654,"animate",53.723,10.507
"351","vecchietti",1576,"vecchietto","NOUN-M:p","vecchiett_",7.36264527041782,"animate",40.23,10.722
"352","vecchietto",2512,"vecchietto","NOUN-M:s","vecchiett_",7.82883452758809,"animate",33.895,10.874
"353","vecchio",12500,"vecchio","NOUN-M:s","vecchi_",9.43348392329039,"animate",21.035,11.786
"354","vedova",6611,"vedova","NOUN-F:s","vedov_",8.79649020733358,"animate",24.36,11.368
"355","vedove",2151,"vedova","NOUN-F:p","vedov_",7.67368812926773,"animate",30.85,10.469
"356","vedovi",221,"vedovo","NOUN-M:p","vedov_",5.39816270151775,"animate",47.035,8.39
"357","vedovo",564,"vedovo","NOUN-M:s","vedov_",6.33505425149806,"animate",46.189,9.568
"358","veterana",274,"veterana","NOUN-F:s","veteran_",5.61312810638807,"animate",65.749,9.456
"359","veterane",79,"veterana","NOUN-F:p","veteran_",4.36944785246702,"animate",78.856,8.114
"360","veterani",2785,"veterano","NOUN-M:p","veteran_",7.93200315236138,"animate",34.08,11.163
"361","veterano",1906,"veterano","NOUN-M:s","veteran_",7.55276208421415,"animate",40.306,10.96
